方法,分类,注释,参数,解释,例子
index_detail_hist_adjust_cni,国证指数,国证指数-样本详情-历史调样,symbol,国证指数-样本详情-历史调样\nhttp://www.cnindex.com.cn/module/index-detail.html?act_menu=1&indexCode=399005\n:param symbol: 指数代码\n:type symbol: str\n:return: 历史调样\n:rtype: pandas.DataFrame,
index_detail_hist_cni,国证指数,国证指数-样本详情-历史样本,symbol;date,"国证指数-样本详情-历史样本\nhttp://www.cnindex.com.cn/module/index-detail.html?act_menu=1&indexCode=399001\n:param symbol: 指数代码; ""399001""\n:type symbol: str\n:param date: 指定月份; ""202201"", 为空返回所有数据\n:type date: str\n:return: 历史样本\n:rtype: pandas.DataFrame",
index_eri,浙江省排污权交易指数,浙江省排污权交易指数,symbol,"浙江省排污权交易指数\nhttps://zs.zjpwq.net\n:param symbol: choice of {""月度"", ""季度""}\n:type symbol: str\n:return: 浙江省排污权交易指数\n:rtype: pandas.DataFrame",
index_fi_cx,财新指数,财新数据-指数报告-融合指数,,财新数据-指数报告-融合指数\nhttps://yun.ccxe.com.cn/indices/dei\n:return: 融合指数\n:rtype: pandas.DataFrame,
index_global_hist_em,东方财富网-行情中心-全球指数,东方财富网-行情中心-全球指数-历史行情数据,symbol,东方财富网-行情中心-全球指数-历史行情数据\nhttps://quote.eastmoney.com/gb/zsUDI.html\n:param symbol: 指数名称；可以通过 ak.index_global_spot_em() 获取\n:type symbol: str\n:return: 历史行情数据\n:rtype: pandas.DataFrame,
index_global_hist_sina,新浪财经-行情中心-环球市场,新浪财经-行情中心-环球市场-历史行情,symbol,新浪财经-行情中心-环球市场-历史行情\nhttps://finance.sina.com.cn/stock/globalindex/quotes/UKX\n:param symbol: 指数名称；可以通过 ak.index_global_name_table() 获取\n:type symbol: str\n:return: 环球市场历史行情\n:rtype: pandas.DataFrame,
index_global_name_table,新浪财经-行情中心-环球市场,新浪财经-行情中心-环球市场-名称代码映射表,,新浪财经-行情中心-环球市场-名称代码映射表\nhttps://finance.sina.com.cn/stock/globalindex/quotes/UKX\n:return: 名称代码映射表\n:rtype: pandas.DataFrame,
index_global_spot_em,东方财富网-行情中心-全球指数,东方财富网-行情中心-全球指数-实时行情数据,,东方财富网-行情中心-全球指数-实时行情数据\nhttps://quote.eastmoney.com/center/gridlist.html#global_qtzs\n:return: 实时行情数据\n:rtype: pandas.DataFrame,
index_hist_cni,国证指数,指数历史行情数据,symbol;start_date;end_date,指数历史行情数据\nhttp://www.cnindex.com.cn/module/index-detail.html?act_menu=1&indexCode=399001\n:param symbol: 指数代码\n:type symbol: str\n:param start_date: 开始时间\n:type start_date: str\n:param end_date: 结束时间\n:type end_date: str\n:return: 指数历史行情数据\n:rtype: pandas.DataFrame,
index_hist_fund_sw,申万宏源研究-申万指数-指数发布-基金指数-实时行情,申万宏源研究-申万指数-指数发布-基金指数-历史行情,symbol;period,申万宏源研究-申万指数-指数发布-基金指数-历史行情\nhttps://www.swsresearch.com/institute_sw/allIndex/releasedIndex/fundDetail?code=807100\n:param symbol: 基金指数代码\n:type symbol: str\n:param period: 周期\n:type period: str\n:return: 历史行情\n:rtype: pandas.DataFrame,
index_hist_sw,申万宏源研究-指数系列,申万宏源研究-指数发布-指数详情-指数历史数据,symbol;period,"申万宏源研究-指数发布-指数详情-指数历史数据\nhttps://www.swsresearch.com/institute_sw/allIndex/releasedIndex/releasedetail?code=801001&name=%E7%94%B3%E4%B8%8750\n:param symbol: 指数代码\n:type symbol: str\n:param period: choice of {""day"", ""week"", ""month""}\n:type period: str\n:return: 指数历史数据\n:rtype: pandas.DataFrame",
index_hog_spot_price,生猪市场价格指数,行情宝-生猪市场价格指数,,行情宝-生猪市场价格指数\nhttps://hqb.nxin.com/pigindex/index.shtml\n:return: 生猪市场价格指数\n:rtype: pandas.DataFrame,
index_ii_cx,财新指数,财新数据-指数报告-产业指数,,财新数据-指数报告-产业指数\nhttps://yun.ccxe.com.cn/indices/dei\n:return: 产业指数\n:rtype: pandas.DataFrame,
index_inner_quote_sugar_msweet,中国食糖指数,沐甜科技数据中心-配额内进口糖估算指数,,沐甜科技数据中心-配额内进口糖估算指数\nhttps://www.msweet.com.cn/mtkj/sjzx13/index.html\n:return: 配额内进口糖估算指数\n:rtype: pandas.DataFrame,
index_kq_fashion,柯桥指数,柯桥时尚指数,symbol,"柯桥时尚指数\nhttp://ss.kqindex.cn:9559/rinder_web_kqsszs/index/index_page.do\n:param symbol: choice of {'柯桥时尚指数', '时尚创意指数', '时尚设计人才数', '新花型推出数', '创意产品成交数', '创意企业数量', '时尚活跃度指数', '电商运行数', '时尚平台拓展数', '新产品销售额占比', '企业合作占比', '品牌传播费用', '时尚推广度指数', '国际交流合作次数', '企业参展次数', '外商驻点数量变化', '时尚评价指数'}\n:type symbol: str\n:return: 柯桥时尚指数及其子项数据\n:rtype: pandas.DataFrame",
index_kq_fz,柯桥指数,中国柯桥纺织指数,symbol,"中国柯桥纺织指数\nhttp://www.kqindex.cn/flzs/jiage\n:param symbol: choice of {'价格指数', '景气指数', '外贸指数'}\n:type symbol: str\n:return: 中国柯桥纺织指数\n:rtype: pandas.DataFrame",
index_li_cx,财新指数,财新数据-指数报告-劳动力投入指数,,财新数据-指数报告-劳动力投入指数\nhttps://yun.ccxe.com.cn/indices/nei\n:return: 劳动力投入指数\n:rtype: pandas.DataFrame,
index_min_sw,申万宏源研究-指数系列,申万宏源研究-指数发布-指数详情-指数分时数据,symbol,申万宏源研究-指数发布-指数详情-指数分时数据\nhttps://www.swsresearch.com/institute_sw/allIndex/releasedIndex/releasedetail?code=801001&name=%E7%94%B3%E4%B8%8750\n:param symbol: 指数代码\n:type symbol: str\n:return: 指数分时数据\n:rtype: pandas.DataFrame,
index_neaw_cx,财新指数,财新数据-指数报告-新经济行业入职平均工资水平,,财新数据-指数报告-新经济行业入职平均工资水平\nhttps://yun.ccxe.com.cn/indices/nei\n:return: 新经济行业入职平均工资水平\n:rtype: pandas.DataFrame,
index_neei_cx,财新指数,财新数据-指数报告-新动能指数,,财新数据-指数报告-新动能指数\nhttps://yun.ccxe.com.cn/indices/neei\n:return: 新动能指数\n:rtype: pandas.DataFrame,
index_nei_cx,财新指数,财新数据-指数报告-中国新经济指数,,财新数据-指数报告-中国新经济指数\nhttps://yun.ccxe.com.cn/indices/nei\n:return: 中国新经济指数\n:rtype: pandas.DataFrame,
index_news_sentiment_scope,数库-A股新闻情绪指数,数库-A股新闻情绪指数,,数库-A股新闻情绪指数\nhttps://www.chinascope.com/reasearch.html\n:return: A股新闻情绪指数\n:rtype: pandas.DataFrame,
index_option_1000index_min_qvix,50ETF 期权波动率指数,中证1000股指 期权波动率指数 QVIX-分时,,中证1000股指 期权波动率指数 QVIX-分时\nhttp://1.optbbs.com/s/vix.shtml?Index1000\n:return: 中证1000股指 期权波动率指数 QVIX-分时\n:rtype: pandas.DataFrame,
index_option_1000index_qvix,50ETF 期权波动率指数,中证1000股指 期权波动率指数 QVIX,,中证1000股指 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?Index1000\n:return: 中证1000股指 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_100etf_min_qvix,50ETF 期权波动率指数,深证100ETF 期权波动率指数 QVIX-分时,,深证100ETF 期权波动率指数 QVIX-分时\nhttp://1.optbbs.com/s/vix.shtml?100ETF\n:return: 深证100ETF 期权波动率指数 QVIX-分时\n:rtype: pandas.DataFrame,
index_option_100etf_qvix,50ETF 期权波动率指数,深证100ETF 期权波动率指数 QVIX,,深证100ETF 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?100ETF\n:return: 深证100ETF 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_300etf_min_qvix,50ETF 期权波动率指数,300 ETF 期权波动率指数 QVIX-分时,,300 ETF 期权波动率指数 QVIX-分时\nhttp://1.optbbs.com/s/vix.shtml?300ETF\n:return: 300 ETF 期权波动率指数 QVIX-分时\n:rtype: pandas.DataFrame,
index_option_300etf_qvix,50ETF 期权波动率指数,300 ETF 期权波动率指数 QVIX,,300 ETF 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?300ETF\n:return: 300 ETF 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_300index_min_qvix,50ETF 期权波动率指数,中证300股指 期权波动率指数 QVIX-分时,,中证300股指 期权波动率指数 QVIX-分时\nhttp://1.optbbs.com/s/vix.shtml?Index\n:return: 中证300股指 期权波动率指数 QVIX-分时\n:rtype: pandas.DataFrame,
index_option_300index_qvix,50ETF 期权波动率指数,中证300股指 期权波动率指数 QVIX,,中证300股指 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?Index\n:return: 中证300股指 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_500etf_min_qvix,50ETF 期权波动率指数,500 ETF 期权波动率指数 QVIX-分时,,500 ETF 期权波动率指数 QVIX-分时\nhttp://1.optbbs.com/s/vix.shtml?500ETF\n:return: 500 ETF 期权波动率指数 QVIX-分时\n:rtype: pandas.DataFrame,
index_option_500etf_qvix,50ETF 期权波动率指数,500 ETF 期权波动率指数 QVIX,,500 ETF 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?500ETF\n:return: 500 ETF 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_50etf_min_qvix,50ETF 期权波动率指数,50 ETF 期权波动率指数 QVIX,,50 ETF 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?50ETF\n:return: 50 ETF 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_50etf_qvix,50ETF 期权波动率指数,50ETF 期权波动率指数 QVIX,,50ETF 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?50ETF\n:return: 50ETF 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_50index_min_qvix,50ETF 期权波动率指数,上证50股指 期权波动率指数 QVIX-分时,,上证50股指 期权波动率指数 QVIX-分时\nhttp://1.optbbs.com/s/vix.shtml?50index\n:return: 上证50股指 期权波动率指数 QVIX-分时\n:rtype: pandas.DataFrame,
index_option_50index_qvix,50ETF 期权波动率指数,上证50股指 期权波动率指数 QVIX,,上证50股指 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?50index\n:return: 上证50股指 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_cyb_min_qvix,50ETF 期权波动率指数,创业板 期权波动率指数 QVIX-分时,,创业板 期权波动率指数 QVIX-分时\nhttp://1.optbbs.com/s/vix.shtml?CYB\n:return: 创业板 期权波动率指数 QVIX-分时\n:rtype: pandas.DataFrame,
index_option_cyb_qvix,50ETF 期权波动率指数,创业板 期权波动率指数 QVIX,,创业板 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?CYB\n:return: 创业板 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_option_kcb_min_qvix,50ETF 期权波动率指数,科创板 期权波动率指数 QVIX-分时,,科创板 期权波动率指数 QVIX-分时\nhttp://1.optbbs.com/s/vix.shtml?KCB\n:return: 科创板 期权波动率指数 QVIX-分时\n:rtype: pandas.DataFrame,
index_option_kcb_qvix,50ETF 期权波动率指数,科创板 期权波动率指数 QVIX,,科创板 期权波动率指数 QVIX\nhttp://1.optbbs.com/s/vix.shtml?KCB\n:return: 科创板 期权波动率指数 QVIX\n:rtype: pandas.DataFrame,
index_outer_quote_sugar_msweet,中国食糖指数,沐甜科技数据中心-配额外进口糖估算指数,,沐甜科技数据中心-配额外进口糖估算指数\nhttps://www.msweet.com.cn/mtkj/sjzx13/index.html\n:return: 配额内进口糖估算指数\n:rtype: pandas.DataFrame,
index_pmi_com_cx,财新指数,财新数据-指数报告-财新中国 PMI-综合 PMI,,财新数据-指数报告-财新中国 PMI-综合 PMI\nhttps://yun.ccxe.com.cn/indices/pmi\n:return: 财新中国 PMI-综合 PMI\n:rtype: pandas.DataFrame,
index_pmi_man_cx,财新指数,财新数据-指数报告-财新中国 PMI-制造业 PMI,,财新数据-指数报告-财新中国 PMI-制造业 PMI\nhttps://yun.ccxe.com.cn/indices/pmi\n:return: 财新中国 PMI-制造业 PMI\n:rtype: pandas.DataFrame,
